375,20130901,64,192
375,20130902,113,223
375,20130903,115,231
375,20130904,117,277
375,20130905,132,320
375,20130906,142,294
375,20130907,126,208
375,20130908,102,191
375,20130909,99,193
375,20130910,95,172
375,20130911,109,192
375,20130912,120,192
375,20130913,101,191
375,20130914,100,182
375,20130915,72,176
375,20130916,49,153
375,20130917,71,148
375,20130918,74,154
375,20130919,75,156
375,20130920,77,163
375,20130921,59,178
375,20130922,110,202
375,20130923,102,215
375,20130924,93,195
375,20130925,87,193
375,20130926,55,171
375,20130927,33,168
375,20130928,33,180
375,20130929,72,183
375,20130930,43,168
